filename,pdf_path,pdf_type,input_tokens,output_tokens,api_latency,total_cost,accuracy
1123_png.rf.a5c5a5f91a97729eb21d19b71afd786e,input/pdfs/1123_png.rf.a5c5a5f91a97729eb21d19b71afd786e.pdf,scanned,312,169,6.702650308609009,0.0000988,0.75
15756_png.rf.8063e64807a53162afdc7d02ae1c7a81,input/pdfs/15756_png.rf.8063e64807a53162afdc7d02ae1c7a81.pdf,scanned,312,268,7.069072723388672,0.0001384,1.0
38232_png.rf.6c6d42f536fe3198c71c511a5028c9a8,input/pdfs/38232_png.rf.6c6d42f536fe3198c71c511a5028c9a8.pdf,scanned,312,382,9.03400492668152,0.000184,0.91045743227005
34749_png.rf.44b539f8fe4cd664e86a179f36a94782,input/pdfs/34749_png.rf.44b539f8fe4cd664e86a179f36a94782.pdf,scanned,312,382,6.8472230434417725,0.000184,0.9517396092414856
49340_png.rf.7ba6cd9f08a0ae00bf48b1e9a960032e,input/pdfs/49340_png.rf.7ba6cd9f08a0ae00bf48b1e9a960032e.pdf,scanned,312,515,10.897151947021484,0.0002372,0.9651167392730713
24773_png.rf.1591244f9504b0f52dd558c4f13d7883,input/pdfs/24773_png.rf.1591244f9504b0f52dd558c4f13d7883.pdf,scanned,312,204,7.4278740882873535,0.0001127999999999,0.800000011920929
11261_png.rf.6e0002e75c09435d1708cbd1f2cfe632,input/pdfs/11261_png.rf.6e0002e75c09435d1708cbd1f2cfe632.pdf,scanned,312,1399,13.068866729736328,0.0005907999999999,0.8598392605781555
34754_png.rf.f2fa9644fae6aa252aa2b13bdb00b148,input/pdfs/34754_png.rf.f2fa9644fae6aa252aa2b13bdb00b148.pdf,scanned,312,917,12.22825813293457,0.0003979999999999,0.6666666865348816
6200_png.rf.7194127db214fc46c62671314a59785e,input/pdfs/6200_png.rf.7194127db214fc46c62671314a59785e.pdf,scanned,312,678,9.693953037261965,0.0003024,0.6491228342056274
19760_png.rf.595dd40b33c5b03b50ea45c83634efc0,input/pdfs/19760_png.rf.595dd40b33c5b03b50ea45c83634efc0.pdf,scanned,312,2170,20.363640785217285,0.0008992,0.9332413077354431
